id	year	month	day	hour	min	sec	lat	lon	depth	mag
914098	1913	10	12	17	3	48	39.408	143.344	15	6.44
914101	1913	10	29	4	32	11	0.089	97.208	25	6.21
914102	1913	11	10	21	12	28	-17.007	168.02	15	6.85
16958249	1913	11	15	5	26	45	-23.586	171.945	35	6.36
914104	1913	11	19	3	20	25	-2.39	122.512	35	6.79
914105	1913	11	23	21	18	9	52.139	159.46	35	6.35
914106	1913	12	15	17	43	23	23.469	122.95	15	6.31
914108	1913	12	21	15	37	56	24.264	102.23	15	6.82
914109	1913	12	25	6	48	40	34.832	-35.25	10	5.8
913962	1914	1	12	9	28	12	31.807	130.686	15	6.8
913963	1914	1	20	12	0	23	52.47	158.688	35	6.79
913964	1914	1	30	3	36	6	-34.763	-73.309	15	7.69
913967	1914	2	6	11	42	14	28.723	64.467	35	5.83
913968	1914	2	7	6	49	41	43.897	148.485	15	6.24
913970	1914	2	28	5	2	44	19.081	-69.306	15	6.02
913971	1914	3	6	19	5	33	55.492	162.389	35	6.6
913972	1914	3	14	20	0	6	39.284	140.698	15	7.04
913973	1914	3	18	4	20	15	54.426	162.856	15	6.63
913974	1914	3	18	6	17	39	55.433	161.793	35	6.63
913975	1914	3	27	0	55	51	53.772	162.792	35	6.39
913976	1914	3	28	10	44	47	25.438	96.356	15	6.47
913977	1914	3	30	0	41	4	14.608	-93.976	15	7.2
913978	1914	4	11	16	30	18	-11.3	162.725	15	7.29
913979	1914	4	20	13	29	57	4.72	-78.684	15	6.53
913981	1914	5	18	23	42	19	-4.634	150.609	15	6.13
913982	1914	5	21	8	26	16	31.034	67.316	15	6
913983	1914	5	24	15	56	25	-10.6	13.773	10	5.99
913984	1914	5	26	14	22	46	-1.98	136.944	15	8.15
913985	1914	5	28	3	23	58	9.873	-78.338	35	6.53
913986	1914	5	28	11	27	28	39.696	35.988	15	5.79
913987	1914	5	29	4	47	20	0.247	97.554	35	6.71
913988	1914	6	19	0	6	36	63.13	-26.243	10	5.5
913989	1914	6	20	7	20	18	-10.757	166.208	15	6.95
913990	1914	6	25	19	7	25	-4.012	101.638	35	7.55
913991	1914	6	26	4	50	30	-13.258	167.556	15	6.56
913992	1914	7	4	17	47	58	28.55	128.829	15	6.29
