date,value,val2,val3
2008/8/28,6050.3,6050.3,6050.3
2008/8/29,6073.6,6073.6,6073.6
2008/8/30,6078.5,6078.5,6078.5
2008/8/31,6071.6,6071.6,6071.6
2008/9/1,6096.2,6096.2,6096.2
2008/9/2,6127.4,6127.4,6127.4
2008/9/3,6140.9,6140.9,6140.9
2008/9/4,5998.1,5998.1,5998.1
2008/9/5,5962.4,5962.4,5962.4
2008/9/6,5972.6,5972.6,5972.6
2008/9/7,6033.4,6033.4,6033.4
2008/9/8,6105.1,6105.1,6105.1
2008/9/9,6200.4,6200.4,6200.4
2008/9/10,6295.1,6295.1,6295.1
2008/9/11,6354.2,6354.2,6354.2
2008/9/12,6387.2,6387.2,6387.2
2008/9/13,6395.3,6395.3,6395.3
2008/9/14,6398.1,6398.1,6398.1
2008/9/15,6440.8,6440.8,6440.8
2008/9/16,6486,6486,6486
2008/9/17,6524.3,6524.3,6524.3
2008/9/18,6550.5,6550.5,6550.5
2008/9/19,6532.9,6532.9,6532.9
2008/9/20,6560.2,6560.2,6560.2
2008/9/21,6581.5,6581.5,6581.5
2008/9/22,6618,6618,6618
2008/9/23,6656.7,6656.7,6656.7
2008/9/24,6683.3,6683.3,6683.3
2008/9/25,6691.3,6691.3,6691.3
2008/9/26,6671.9,6671.9,6671.9
2008/9/27,6653.3,6653.3,6653.3
2008/9/28,6662.8,6662.8,6662.8
2008/9/29,6678.5,6678.5,6678.5
2008/9/30,6695.2,6695.2,6695.2
2008/10/1,6723.5,6723.5,6723.5
2008/10/2,6748.4,6748.4,6748.4
2008/10/3,6792.8,6792.8,6792.8
2008/10/4,6817.2,6817.2,6817.2
2008/10/5,6813.3,6813.3,6813.3
2008/10/6,6826.1,6826.1,6826.1
2008/10/7,6833.2,6833.2,6833.2
2008/10/8,6822.5,6822.5,6822.5
2008/10/9,6806.6,6806.6,6806.6
2008/10/10,6796.4,6796.4,6796.4
2008/10/11,6782.6,6782.6,6782.6
2008/10/12,6778.4,6778.4,6778.4
2008/10/13,6781.9,6781.9,6781.9
2008/10/14,6773.5,6773.5,6773.5
2008/10/15,6796.6,6796.6,6796.6
2008/10/16,6826.6,6826.6,6826.6
2008/10/17,6830.4,6830.4,6830.4
2008/10/18,6820.6,6820.6,6820.6
2008/10/19,6829,6829,6829
2008/10/20,6829.1,6829.1,6829.1
2008/10/21,6865.8,6865.8,6865.8
2008/10/22,6866.7,6866.7,6866.7
2008/10/23,6845.4,6845.4,6845.4
2008/10/24,6862.3,6862.3,6862.3
2008/10/25,6862.1,6862.1,6862.1
2008/10/26,6753.3,6753.3,6753.3
2008/10/27,6708.1,6708.1,6708.1
2008/10/28,6707,6707,6707
2008/10/29,6705.6,6705.6,6705.6
2008/10/30,6558.8,6558.8,6558.8
2008/10/31,5969.2,5969.2,5969.2
2008/11/1,5759.9,5759.9,5759.9
2008/11/2,5811.8,5811.8,5811.8
2008/11/3,6125.1,6125.1,6125.1
2008/11/4,6330.6,6330.6,6330.6
2008/11/5,6507.2,6507.2,6507.2
2008/11/6,6670.7,6670.7,6670.7
2008/11/7,6815.7,6815.7,6815.7
2008/11/8,6982.6,6982.6,6982.6
2008/11/9,7157.3,7157.3,7157.3
2008/11/10,7290,7290,7290
2008/11/11,7397.8,7397.8,7397.8
2008/11/12,7498.8,7498.8,7498.8
2008/11/13,7572.7,7572.7,7572.7
2008/11/14,7651.4,7651.4,7651.4
2008/11/15,7721.4,7721.4,7721.4
2008/11/16,7753.6,7753.6,7753.6
2008/11/17,7760.9,7760.9,7760.9
2008/11/18,7751,7751,7751
2008/11/19,7768.4,7768.4,7768.4
2008/11/20,7809.7,7809.7,7809.7
2008/11/21,7833.2,7833.2,7833.2
2008/11/22,7850.1,7850.1,7850.1
2008/11/23,7866.9,7866.9,7866.9
2008/11/24,7882.1,7882.1,7882.1
2008/11/25,7898.6,7898.6,7898.6
2008/11/26,7919.1,7919.1,7919.1
2008/11/27,7920.4,7920.4,7920.4
2008/11/28,7943.9,7943.9,7943.9
2008/11/29,7942.8,7942.8,7942.8
2008/11/30,7958.1,7958.1,7958.1
2008/12/1,7961.6,7961.6,7961.6
2008/12/2,7971.9,7971.9,7971.9
2008/12/3,7890.9,7890.9,7890.9
2008/12/4,7845.3,7845.3,7845.3
2008/12/5,7840.8,7840.8,7840.8
2008/12/6,7865.9,7865.9,7865.9
2008/12/7,7875.7,7875.7,7875.7
2008/12/8,7864.9,7864.9,7864.9
2008/12/9,7876.3,7876.3,7876.3
2008/12/10,7856,7856,7856
2008/12/11,7849.4,7849.4,7849.4
2008/12/12,7870.1,7870.1,7870.1
2008/12/13,7837.9,7837.9,7837.9
2008/12/14,7841.8,7841.8,7841.8
2008/12/15,7855.4,7855.4,7855.4
2008/12/16,7850.8,7850.8,7850.8
2008/12/17,7851,7851,7851
2008/12/18,7869.8,7869.8,7869.8
2008/12/19,7881.3,7881.3,7881.3
2008/12/20,7842.3,7842.3,7842.3
2008/12/21,7759.1,7759.1,7759.1
2008/12/22,7738.9,7738.9,7738.9
2008/12/23,7761,7761,7761
2008/12/24,7779.1,7779.1,7779.1
2008/12/25,7812.1,7812.1,7812.1
2008/12/26,7844.7,7844.7,7844.7
2008/12/27,7874,7874,7874
2008/12/28,7881,7881,7881
2008/12/29,7885.6,7885.6,7885.6
2008/12/30,7886.1,7886.1,7886.1
