time;origin_data;departure;residual
2008-08-31;6351.950000000003;25336.465118617944;-18984.515118617943
2008-09-01;6376.550000000001;25170.190023310028;-18793.64002331003
2008-09-02;6407.750000000001;25170.190023310028;-18762.440023310028
2008-09-03;6421.250000000001;25170.190023310028;-18748.940023310028
2008-09-04;6332.000000000001;25170.190023310028;-18838.190023310028
2008-09-05;6242.750000000001;25170.190023310028;-18927.440023310028
2008-09-06;6252.950000000003;25170.190023310028;-18917.240023310027
2008-09-07;6313.750000000001;25170.190023310028;-18856.440023310028
2008-09-08;6385.450000000003;25170.190023310028;-18784.740023310027
2008-09-09;6480.750000000001;25170.190023310028;-18689.440023310028
2008-09-10;6575.450000000003;25170.190023310028;-18594.740023310027
2008-09-11;6634.550000000001;25170.190023310028;-18535.64002331003
2008-09-12;6667.550000000001;25170.190023310028;-18502.64002331003
2008-09-13;6675.650000000002;25170.190023310028;-18494.540023310026
2008-09-14;6678.450000000003;25170.190023310028;-18491.740023310027
2008-09-15;6721.150000000002;25170.190023310028;-18449.040023310026
2008-09-16;6766.350000000001;25170.190023310028;-18403.840023310026
2008-09-17;6804.650000000002;25170.190023310028;-18365.540023310026
2008-09-18;6830.850000000001;25170.190023310028;-18339.340023310026
2008-09-19;6813.250000000001;25170.190023310028;-18356.940023310028
2008-09-20;6840.550000000001;25170.190023310028;-18329.64002331003
2008-09-21;6861.850000000001;25170.190023310028;-18308.340023310026
2008-09-22;6898.350000000001;25170.190023310028;-18271.840023310026
2008-09-23;6937.050000000001;25170.190023310028;-18233.14002331003
2008-09-24;6963.650000000002;25170.190023310028;-18206.540023310026
2008-09-25;6971.650000000002;25170.190023310028;-18198.540023310026
2008-09-26;6952.250000000001;25170.190023310028;-18217.940023310028
2008-09-27;6933.650000000002;25170.190023310028;-18236.540023310026
2008-09-28;6943.150000000002;25170.190023310028;-18227.040023310026
2008-09-29;6958.850000000001;25170.190023310028;-18211.340023310026
2008-09-30;6975.550000000001;25170.190023310028;-18194.64002331003
2008-10-01;7003.850000000001;25669.28341285062;-18665.433412850616
2008-10-02;7028.750000000001;25669.28341285062;-18640.53341285062
2008-10-03;7073.150000000002;25669.28341285062;-18596.133412850617
2008-10-04;7097.550000000001;25669.28341285062;-18571.73341285062
2008-10-05;7093.650000000002;25669.28341285062;-18575.633412850617
2008-10-06;7106.450000000003;25669.28341285062;-18562.833412850618
2008-10-07;7113.550000000001;25669.28341285062;-18555.73341285062
2008-10-08;7102.850000000001;25669.28341285062;-18566.433412850616
2008-10-09;7086.950000000003;25669.28341285062;-18582.333412850618
2008-10-10;7076.750000000001;25669.28341285062;-18592.53341285062
2008-10-11;7062.950000000003;25669.28341285062;-18606.333412850618
2008-10-12;7058.750000000001;25669.28341285062;-18610.53341285062
2008-10-13;7062.250000000001;25669.28341285062;-18607.03341285062
2008-10-14;7053.850000000001;25669.28341285062;-18615.433412850616
2008-10-15;7076.950000000003;25669.28341285062;-18592.333412850618
2008-10-16;7106.950000000003;25669.28341285062;-18562.333412850618
2008-10-17;7110.750000000001;25669.28341285062;-18558.53341285062
2008-10-18;7100.950000000003;25669.28341285062;-18568.333412850618
2008-10-19;7109.350000000001;25669.28341285062;-18559.933412850616
2008-10-20;7109.450000000003;25669.28341285062;-18559.833412850618
2008-10-21;7146.150000000002;25669.28341285062;-18523.133412850617
2008-10-22;7147.050000000001;25669.28341285062;-18522.23341285062
2008-10-23;7125.750000000001;25669.28341285062;-18543.53341285062
2008-10-24;7142.650000000002;25669.28341285062;-18526.633412850617
2008-10-25;7142.450000000003;25669.28341285062;-18526.833412850618
2008-10-26;7065.450000000003;25669.28341285062;-18603.833412850618
2008-10-27;6988.450000000003;25669.28341285062;-18680.833412850618
2008-10-28;6987.350000000001;25669.28341285062;-18681.933412850616
