time;origin_data;trans_data;residual
2017-03-06;9510.7;7597.390585410149;1913.3094145898522
2017-03-07;9605.2;7600.119966827158;2005.0800331728424
2017-03-08;9672.2;7602.84934824417;2069.3506517558308
2017-03-09;9766.0;7605.57872966118;2160.4212703388202
2017-03-10;9854.6;7608.308111078191;2246.291888921809
2017-03-11;9937.1;7611.037492495203;2326.0625075047974
2017-03-12;10060.2;7613.766873912213;2446.433126087788
2017-03-13;10167.6;7616.496255329224;2551.103744670776
2017-03-14;10174.5;7619.225636746234;2555.274363253766
2017-03-15;10253.2;7621.955018163246;2631.244981836755
2017-03-16;10341.9;7624.684399580256;2717.215600419744
2017-03-17;10437.2;7627.413780997267;2809.7862190027336
2017-03-18;10533.3;7630.143162414277;2903.1568375857223
2017-03-19;10638.0;7632.872543831289;3005.1274561687114
2017-03-20;10757.9;7635.601925248298;3122.2980747517013
2017-03-21;10871.5;7638.33130666531;3233.16869333469
2017-03-22;10971.6;7641.06068808232;3330.5393119176806
2017-03-23;11052.2;7643.790069499331;3408.4099305006694
2017-03-24;11122.4;7646.519450916341;3475.8805490836585
2017-03-25;11194.8;7649.248832333353;3545.5511676666465
2017-03-26;11270.7;7651.978213750363;3618.721786249638
2017-03-27;11349.0;7654.707595167374;3694.292404832626
2017-03-28;11428.4;7657.436976584384;3770.9630234156157
2017-03-29;11462.6;7660.166358001396;3802.433641998605
2017-03-30;11487.1;7662.895739418405;3824.204260581595
2017-03-31;11408.1;7665.625120835417;3742.4748791645834
2017-04-01;11384.3;7668.354502252427;3715.9454977475725
2017-04-02;11365.9;7671.083883669438;3694.8161163305613
2017-04-03;11390.3;7673.81326508645;3716.4867349135493
2017-04-04;11420.5;7676.54264650346;3743.9573534965402
2017-04-05;11459.5;7679.272027920471;3780.2279720795286
2017-04-06;11504.3;7682.001409337481;3822.298590662518
2017-04-07;11576.2;7684.730790754493;3891.469209245508
2017-04-08;11678.8;7687.460172171504;3991.339827828495
2017-04-09;11762.9;7690.189553588514;4072.7104464114855
2017-04-10;11691.7;7692.918935005526;3998.781064994475
2017-04-11;11658.9;7695.648316422536;3963.251683577464
2017-04-12;11690.5;7698.377697839547;3992.122302160453
2017-04-13;11721.5;7701.107079256559;4020.392920743441
2017-04-14;11775.5;7703.836460673569;4071.6635393264314
2017-04-15;11802.0;7706.56584209058;4095.43415790942
2017-04-16;11826.2;7709.29522350759;4116.904776492411
2017-04-17;11867.3;7712.024604924602;4155.275395075398
2017-04-18;11974.7;7714.753986341611;4259.946013658389
2017-04-19;12053.8;7717.483367758623;4336.316632241376
2017-04-20;12087.3;7720.212749175633;4367.0872508243665
2017-04-21;12043.3;7722.942130592644;4320.357869407355
2017-04-22;12077.9;7725.671512009654;4352.2284879903455
2017-04-23;12111.2;7728.400893426666;4382.799106573335
2017-04-24;12141.7;7731.130274843676;4410.569725156325
2017-04-25;12188.9;7733.859656260687;4455.040343739312
2017-04-26;12165.9;7736.589037677697;4429.310962322303
2017-04-27;12122.4;7739.318419094709;4383.081580905291
2017-04-28;12141.3;7742.047800511718;4399.252199488281
2017-04-29;12217.8;7744.77718192873;4473.022818071269
2017-04-30;12239.0;7747.50656334574;4491.49343665426
2017-05-01;12309.7833;7750.235944762751;4559.547355237248
2017-05-02;12391.1;7752.965326179761;4638.134673820239
2017-05-03;12456.5;7755.694707596773;4700.805292403227
2017-05-04;12498.7;7758.424089013784;4740.275910986216
2017-05-05;12542.6;7761.153470430794;4781.446529569206
2017-05-06;12570.4;7763.882851847806;4806.517148152194
2017-05-07;12629.5;7766.612233264816;4862.887766735184
2017-05-08;12697.9;7769.341614681827;4928.558385318172
2017-05-09;12755.5;7772.070996098839;4983.429003901161
2017-05-10;12757.5;7774.800377515849;4982.699622484151
2017-05-11;12751.1;7777.52975893286;4973.57024106714
