"lon","lat","elev","grav","name"
102.51614,24.38782,1625.951,978489.399,8041
102.51666,24.38948,1626.143,978489.27,8042
102.51773,24.38748,1625.688,978489.512,8043
102.51889,24.3871,1626.544,978489.47,8044
102.52027,24.38667,1628.218,978489.292,8045
102.52066,24.38785,1629.024,978488.982,8046
102.52103,24.38556,1628.897,978489.4,8047
102.52257,24.38326,1628.209,978489.983,8048
102.52364,24.38181,1627.965,978490.41,8049
102.52481,24.38575,1627.521,978490.144,8050
102.52604,24.38498,1627.183,978490.506,8051
102.52762,24.38387,1627.25,978490.839,8052
102.56535,24.38744,1641.373,978498.282,12001
102.56524,24.38493,1640.896,978498.453,12002
102.56514,24.38288,1638.226,978498.987,12003
102.56503,24.38064,1635.363,978499.473,12004
102.56492,24.37853,1634.314,978499.694,12005
102.56477,24.37638,1635.497,978499.314,12006
102.56461,24.37424,1635.225,978499.862,12007
102.56457,24.37204,1634.928,978500.103,12008
102.56445,24.36999,1635.186,978500.133,12009
102.56436,24.36776,1636.857,978500.198,12010
102.56463,24.36562,1647.7,978498.465,12011
102.56634,24.36655,1647.668,978498.481,12000
102.56263,24.36438,1646.806,978499.371,12012
102.56117,24.3632,1644.19,978500.433,12013
102.55924,24.3618,1642.999,978500.552,12014
102.55759,24.36048,1640.091,978500.82,12015
102.556,24.35935,1638.113,978500.362,12016
102.55407,24.35799,1636.857,978499.346,12017
102.55251,24.35692,1637.225,978498.818,12018
102.5507,24.35553,1637.96,978498.379,12019
102.54865,24.35392,1638.549,978497.991,12020
102.54589,24.35078,1637.941,978498.945,12022
102.544,24.34905,1637.977,978499.423,12023
102.54282,24.34749,1639.56,978499.175,12024
102.54081,24.34568,1639.126,978498.832,12025
102.53921,24.34415,1637.648,978499.206,12026
102.53791,24.34257,1637.062,978500.159,12027
102.53608,24.34078,1635.539,978502.215,12028
102.53455,24.3391,1633.749,978501.601,12029
102.53286,24.33738,1631.409,978500.645,12030
102.53144,24.33594,1630.012,978500.059,12031
102.52979,24.33418,1627.445,978499.964,12032
102.52817,24.3328,1627.901,978499.253,12033
102.52695,24.33116,1628.324,978499.041,12034
102.5259,24.32893,1628.769,978499.812,12035
102.52503,24.32686,1629.763,978500.973,12036
102.52393,24.32581,1631.48,978500.687,12037
102.52277,24.32301,1633.183,978499.812,12038
102.52135,24.32092,1634.697,978500.027,12039
102.52475,24.37502,1624.226,978492.299,9101
102.5233,24.37484,1623.81,978492.245,9102
