time;origin_data;despiked;flag
2008-10-24;6862.3;7142.6500000000015;0
2008-10-25;6862.1;7142.450000000002;0
2008-10-26;6753.3;7065.450000000002;1
2008-10-27;6708.1;6988.450000000002;0
2008-10-28;6707.0;6987.350000000001;0
2008-10-29;6705.6;6985.950000000002;0
2008-10-30;6558.8;6989.5700000000015;2
2008-10-31;5969.2;6998.210000000002;2
2008-11-01;5759.9;7011.870000000002;2
2008-11-02;5811.8;7030.550000000002;1
2008-11-03;6125.1;7054.250000000002;2
2008-11-04;6330.6;7082.970000000002;2
2008-11-05;6507.2;7116.710000000002;2
2008-11-06;6670.7;7155.470000000002;2
2008-11-07;6815.7;7199.250000000002;2
2008-11-08;6982.6;7248.050000000002;2
2008-11-09;7157.3;7301.870000000002;2
2008-11-10;7290.0;7360.710000000002;2
2008-11-11;7397.8;7424.5700000000015;2
2008-11-12;7498.8;7493.450000000002;1
2008-11-13;7572.7;7567.350000000001;0
2008-11-14;7651.4;7646.050000000001;0
2008-11-15;7721.4;7716.050000000001;0
2008-11-16;7753.6;7748.250000000002;0
2008-11-17;7760.9;7755.550000000001;0
2008-11-18;7751.0;7745.6500000000015;0
2008-11-19;7768.4;7763.050000000001;0
2008-11-20;7809.7;7804.350000000001;0
2008-11-21;7833.2;7827.850000000001;0
2008-11-22;7850.1;7844.750000000002;0
2008-11-23;7866.9;7861.550000000001;0
2008-11-24;7882.1;7876.750000000002;0
2008-11-25;7898.6;7893.250000000002;0
2008-11-26;7919.1;7913.750000000002;0
2008-11-27;7920.4;7915.050000000001;0
2008-11-28;7943.9;7938.550000000001;0
2008-11-29;7942.8;7937.450000000002;0
2008-11-30;7958.1;7952.750000000002;0
2008-12-01;7961.6;7956.250000000002;0
2008-12-02;7971.9;7966.550000000001;0
2008-12-03;7890.9;7885.550000000001;0
2008-12-04;7845.3;7839.950000000002;0
2008-12-05;7840.8;7835.450000000002;0
2008-12-06;7865.9;7860.550000000001;0
2008-12-07;7875.7;7870.350000000001;0
2008-12-08;7864.9;7859.550000000001;0
2008-12-09;7876.3;7870.950000000002;0
2008-12-10;7856.0;7850.6500000000015;0
2008-12-11;7849.4;7844.050000000001;0
2008-12-12;7870.1;7864.750000000002;0
2008-12-13;7837.9;7832.550000000001;0
2008-12-14;7841.8;7836.450000000002;0
2008-12-15;7855.4;7850.050000000001;0
2008-12-16;7850.8;7845.450000000002;0
2008-12-17;7851.0;7845.6500000000015;0
2008-12-18;7869.8;7864.450000000002;0
2008-12-19;7881.3;7875.950000000002;0
2008-12-20;7842.3;7836.950000000002;0
2008-12-21;7759.1;7753.750000000002;0
2008-12-22;7738.9;7733.550000000001;0
2008-12-23;7761.0;7755.6500000000015;0
2008-12-24;7779.1;7773.750000000002;0
2008-12-25;7812.1;7806.750000000002;0
2008-12-26;7844.7;7839.350000000001;0
2008-12-27;7874.0;7868.6500000000015;0
2008-12-28;7881.0;7875.6500000000015;0
2008-12-29;7885.6;7880.250000000002;0
2008-12-30;7886.1;7880.750000000002;0
2008-12-31;7897.4;7892.050000000001;0
2009-01-01;-5.9;7911.183333333334;2
2009-01-02;12.3;7938.150000000001;1
2009-01-03;47.1;7972.950000000001;0
2009-01-04;61.8;7987.650000000001;0
2009-01-05;67.1;7992.950000000001;0
2009-01-06;69.2;7995.050000000001;0
2009-01-07;78.0;8003.850000000001;0
2009-01-08;76.0;8001.850000000001;0
2009-01-09;75.5;8001.350000000001;0
2009-01-10;98.9;8024.750000000001;0
2009-01-11;118.5;8044.350000000001;0
2009-01-12;105.9;8031.750000000001;0
2009-01-13;112.6;8038.450000000001;0
2009-01-14;111.6;8037.450000000001;0
2009-01-15;131.0;8056.85;0
2009-01-16;146.7;8072.55;0
2009-01-17;165.0;8090.85;0
2009-01-18;166.9;8092.75;0
2009-01-19;186.8;8112.65;0
2009-01-20;202.1;8127.95;0
2009-01-21;216.6;8142.45;0
2009-01-22;245.5;8171.349999999999;0
2009-01-23;192.1;8117.95;0
2009-01-24;196.1;8121.95;0
2009-01-25;222.3;8148.15;0
2009-01-26;214.1;8139.95;0
2009-01-27;238.9;8164.75;0
2009-01-28;256.1;8181.95;0
2009-01-29;257.0;8182.849999999999;0
2009-01-30;274.7;8200.55;0
2009-01-31;290.0;8215.849999999999;0
2009-02-01;293.8;8219.649999999998;0
2009-02-02;311.0;8236.849999999999;0
2009-02-03;324.9;8250.749999999998;0
2009-02-04;328.9;8254.749999999998;0
2009-02-05;328.9;8254.749999999998;0
2009-02-06;345.4;8271.249999999998;0
2009-02-07;371.7;8297.549999999997;0
2009-02-08;381.7;8307.549999999997;0
2009-02-09;398.3;8324.149999999998;0
2009-02-10;415.7;8341.549999999997;0
2009-02-11;445.4;8371.249999999998;0
2009-02-12;487.6;8413.449999999999;0
2009-02-13;457.8;8383.65;0
2009-02-14;418.9;8344.75;0
2009-02-15;409.3;8335.15;0
2009-02-16;392.3;8318.15;0
2009-02-17;396.8;8322.65;0
2009-02-18;407.6;8333.449999999999;0
2009-02-19;405.9;8331.749999999998;0
2009-02-20;395.7;8321.549999999997;0
2009-02-21;450.1;8375.949999999997;0
2009-02-22;443.4;8369.249999999996;0
2009-02-23;440.1;8365.949999999997;0
2009-02-24;467.9;8393.749999999996;0
2009-02-25;459.9;8385.749999999996;0
2009-02-26;471.2;8397.049999999996;0
2009-02-27;449.0;8374.849999999995;0
2009-02-28;433.9;8359.749999999995;0
2009-03-01;423.6;8349.449999999995;0
2009-03-02;432.1;8357.949999999995;0
2009-03-03;431.6;8357.449999999995;0
2009-03-04;449.8;8375.649999999996;0
2009-03-05;424.2;8350.049999999996;0
2009-03-06;417.2;8343.049999999996;0
2009-03-07;436.4;8362.249999999996;0
2009-03-08;438.0;8363.849999999997;0
2009-03-09;463.5;8389.349999999997;0
2009-03-10;490.4;8416.249999999996;0
2009-03-11;492.9;8418.749999999996;0
2009-03-12;499.5;8425.349999999997;0
2009-03-13;460.6;8386.449999999997;0
2009-03-14;341.5;8340.849999999997;1
2009-03-15;369.4;8295.249999999996;0
2009-03-16;380.8;8306.649999999996;0
2009-03-17;430.2;8356.049999999996;0
2009-03-18;428.8;8354.649999999996;0
2009-03-19;449.2;8375.049999999996;0
2009-03-20;476.6;8402.449999999995;0
2009-03-21;515.8;8441.649999999996;0
2009-03-22;500.9;8426.749999999996;0
2009-03-23;467.8;8393.649999999996;0
2009-03-24;466.2;8392.049999999996;0
2009-03-25;489.6;8415.449999999995;0
2009-03-26;508.3;8434.149999999996;0
2009-03-27;509.3;8435.149999999996;0
2009-03-28;538.8;8464.649999999996;0
2009-03-29;525.9;8451.749999999996;0
2009-03-30;533.9;8459.749999999996;0
2009-03-31;539.4;8465.249999999996;0
2009-04-01;537.2;8463.049999999996;0
2009-04-02;553.3;8479.149999999996;0
2009-04-03;523.0;8448.849999999997;0
2009-04-04;533.7;8459.549999999997;0
2009-04-05;492.3;8418.149999999998;0
