time;origin_data;trend;seasonal;residual
2016-05-25;33912.912499999984;33776.14167527221;89.180165010976;47.59065971680093
2016-05-26;33882.31249999998;33786.71900579557;65.72822395742608;29.865270246985318
2016-05-27;33854.21249999998;33797.29008061115;51.80636177478051;5.116057614048927
2016-05-28;33814.11249999998;33807.79512802949;42.16163581207422;-35.84426384158053
2016-05-29;33789.71249999998;33818.290586406736;38.84250601119865;-67.42059241795513
2016-05-30;33811.31249999998;33828.743031085345;37.62144435222791;-55.051975437594876
2016-05-31;33869.31249999998;33839.31602370916;37.86599753503526;-7.86952124421498
2016-06-01;33940.71249999998;33849.983536880914;38.95048685476637;51.77847626429879
2016-06-02;33863.21249999998;33860.72940621707;26.59867320805745;-24.115579425147303
2016-06-03;33845.47916666665;33871.49664541623;16.996100389012923;-43.01357913859093
2016-06-04;33887.51249999998;33882.34717228661;25.592724811082874;-20.427397097709175
2016-06-05;33989.312499999985;33893.198521074795;35.22077769054219;60.893201234647975
2016-06-06;34077.51249999998;33904.09562328767;8.169009318554586;165.24786739375736
2016-06-07;34165.71249999998;33915.01628714435;24.060905811569384;226.63530704405667
2016-06-08;34160.61249999998;33926.00380031612;26.800835162137233;207.80786452172674
2016-06-09;34214.412499999984;33937.120902528986;34.692595626798806;242.59900184419885
2016-06-10;34264.01249999998;33948.37197734458;50.91598747377594;264.7245351816293
2016-06-11;34302.912499999984;33959.61784668071;64.52710036683108;278.76755295244243
2016-06-12;34353.11249999998;33970.929743414126;75.83343119263748;306.3493253932173
2016-06-13;34411.81249999998;33982.32602370916;88.6106462027494;340.8758300880688
2016-06-14;34461.21249999998;33993.79435879874;115.75717628135644;351.6609649198839
2016-06-15;34435.11249999998;34005.29776238145;136.88559926158698;292.92913835694276
2016-06-16;34402.912499999984;34016.907467334044;154.86744689934778;231.13758576659245
2016-06-17;34430.312499999985;34028.63909009482;176.45293090074637;225.22047900442186
2016-06-18;34426.412499999984;34040.33235669126;196.837755707454;189.2423876012714
2016-06-19;34333.812499999985;34052.07932191781;199.270444358087;82.4627337240899
2016-06-20;34303.51506410255;34063.885739199155;198.37891239371547;41.25041250967607
2016-06-21;34335.520192307675;34075.74996469968;204.79305686706226;54.977170740932195
2016-06-22;34429.82788461537;34087.68460115912;199.98371297945164;142.15957047679944
2016-06-23;34524.135576923065;34099.70197734457;196.17564638532522;228.25795319316794
2016-06-24;34618.44326923076;34111.617983667005;199.54631121502908;307.2789743487257
2016-06-25;34712.750961538455;34123.62467492096;203.72746006299568;385.3988265544991
2016-06-26;34807.05865384615;34135.62255991269;226.2056732530126;445.2304206804457
2016-06-27;34901.366346153845;34147.483967409295;249.6228901790206;504.2594885655302
2016-06-28;34995.67403846154;34159.18423987655;276.2417559219655;560.2480426630239
2016-06-29;35089.981730769236;34170.88310334187;297.5030475677711;621.5955798595962
2016-06-30;35184.28942307693;34182.453708490146;323.1849415381982;678.6507730485866
2016-07-01;35278.597115384626;34194.02756217071;341.4457574679443;743.12379574597
2016-07-02;35372.90480769232;34205.47534931507;359.99461615401503;807.4348422232348
2016-07-03;35467.212500000016;34216.79108166491;377.0612726815189;873.360145653588
2016-07-04;35561.52019230772;34228.03886880927;397.54616706705076;935.935156431396
2016-07-05;35651.58711538463;34239.27542307691;420.2344141044999;992.0772782032179
2016-07-06;35737.41326923078;34250.32540200211;433.09009847630284;1053.9977687523678
2016-07-07;35818.99865384617;34261.16967316473;450.3481641426117;1107.4808165388238
2016-07-08;35896.34326923078;34271.77207218124;463.0912013898486;1161.479995659698
2016-07-09;35969.44711538463;34282.13780453108;480.2668897530954;1207.0424211004586
2016-07-10;36038.31019230771;34292.24413048824;487.503535583531;1258.5625262359433
2016-07-11;36102.93250000002;34302.12666649104;499.89397408248453;1300.9118594264892
2016-07-12;36163.314038461554;34311.77828925186;513.4761753620393;1338.0595738476563
2016-07-13;36219.45480769232;34321.24770653319;536.7870385504588;1361.4200626086663
2016-07-14;36271.35480769233;34330.57979048121;541.8388592060709;1398.9361580050481
2016-07-15;36311.35480769233;34339.786536529675;537.034845490573;1434.5334256720848
2016-07-16;36339.45480769232;34348.90843326308;534.9421206916379;1455.6042537375977
2016-07-17;36355.65480769232;34357.98459940288;540.5492775863512;1457.1209307030895
2016-07-18;36320.55480769232;34367.11716736916;541.151534107469;1412.2861062156962
2016-07-19;36288.65480769232;34376.291557253244;548.1329749374265;1364.2302755016506
2016-07-20;36308.11730769232;34385.59812065332;559.5557036461714;1362.963483392833
2016-07-21;36327.57980769232;34395.04611327713;577.0042252150239;1355.529469200162
2016-07-22;36347.04230769233;34404.667804531084;581.4631722716351;1360.9113308896137
2016-07-23;36366.50480769233;34414.539906743936;580.4494397931646;1371.5154611552264
2016-07-24;36385.96730769233;34424.7017349842;575.1874383234114;1386.078134384718
2016-07-25;36405.42980769233;34435.139727608;562.3177656207828;1407.9723144635445
2016-07-26;36424.89230769233;34445.79292571128;562.4413122849231;1416.6580696961305
2016-07-27;36444.35480769233;34456.68393203372;566.685948612822;1420.984927045794
2016-07-28;36516.55480769233;34467.80521232877;581.9861484525514;1466.7634469110076
2016-07-29;36582.25480769233;34479.185533719705;573.0766347181897;1529.992639254432
2016-07-30;36616.55480769233;34490.79119757639;577.8789267123419;1547.8846834035949
2016-07-31;36669.25480769233;34502.56987513172;602.8071106741164;1563.8778218864927
2016-08-01;36684.15480769233;34514.491566385674;596.1916847355168;1573.4715565711376
2016-08-02;36703.75480769233;34526.72887407798;590.5796102913117;1586.446323323038
2016-08-03;36682.65480769233;34539.13412697577;587.9126681634209;1555.6080125531387
2016-08-04;36648.75480769233;34551.79307850368;583.0505081027778;1513.9112210858684
2016-08-05;36597.75480769233;34564.764084826136;574.4442882662964;1458.546434599894
2016-08-06;36569.45480769232;34577.96426923077;550.9340562029349;1440.5564822586136
2016-08-07;36552.05480769232;34591.38061801898;537.4678424044156;1423.2063472689283
2016-08-08;36525.05480769232;34604.92806269758;521.6845426781267;1398.4422023166142
2016-08-09;36481.05480769232;34618.54071285564;503.3339453179637;1359.1801495187187
2016-08-10;36431.35480769233;34632.29829452055;480.10854513505285;1318.9479680367285
2016-08-11;36369.45480769232;34646.199300843;463.7968827212214;1259.4586241280952
2016-08-12;36334.35480769233;34660.304690727084;442.5702407663836;1231.4798761988652
2016-08-13;36313.45480769232;34674.56117650158;417.8439866428907;1221.0496445478475
2016-08-14;36279.75480769233;34689.10807323499;391.05077290367433;1199.595961553665
2016-08-15;36230.35480769233;34703.995791886206;360.7885073943103;1165.5705084118167
2016-08-16;36188.25480769233;34719.2328256059;349.2651353202747;1119.756846766155
2016-08-17;36168.65480769233;34734.74876343521;332.16683351843324;1101.7392107386877
2016-08-18;36167.85480769233;34750.52798893573;302.40244205283193;1114.9243767037672
2016-08-19;36152.25480769233;34766.462282929395;278.0931653354997;1107.6993594274322
2016-08-20;36140.45480769232;34782.654659114865;260.49673271470687;1097.3034158627443
2016-08-21;36123.45480769232;34799.09936406744;230.05647752378786;1094.2989661010863
2016-08-22;36078.75480769233;34815.68297312961;186.21919096241794;1076.8526436002994
2016-08-23;36025.454807692324;34832.56685616438;140.91314202186942;1051.974809506071
2016-08-24;35987.354807692325;34849.72306796627;115.66971301846648;1021.9620267075908
2016-08-25;35952.05480769232;34867.10448524763;80.4485220509965;1004.5018003936924
2016-08-26;35933.354807692325;34884.70151896733;45.38391887929219;1003.2693698457001
2016-08-27;35846.25480769233;34902.51088145416;11.212765271728912;932.5311609664378
2016-08-28;35759.15480769233;34920.44106585881;-26.19624636822296;864.9099882017417
2016-08-29;35717.854807692325;34938.52092149632;-61.2446851563606;840.5785713523679
2016-08-30;35636.454807692324;34956.73874973658;-110.30180181914126;790.017859774887
2016-08-31;35590.854807692325;34975.04093414122;-155.79947265377467;771.6133462048767
2016-09-01;35584.25480769233;34993.491392518445;-195.3098977432831;786.0733129171651
2016-09-02;35578.55480769233;35012.03404267651;-224.13413561818737;790.6549006340065
2016-09-03;35556.75480769233;35030.71745995786;-262.9468853237261;788.9842330581953
2016-09-04;35526.05480769233;35049.55241148578;-296.925261845361;773.4276580519071
2016-09-05;35484.95480769233;35068.497061643844;-334.9796221777127;751.4373682261997
2016-09-06;35456.754807692334;35087.51779399368;-364.56398458561335;733.8009982842707
2016-09-07;35421.05480769234;35106.657156480505;-397.2360078486408;711.6336590604724
2016-09-08;35371.05480769234;35126.027888830344;-423.58421002408033;668.6111288860735
2016-09-09;35371.95480769234;35145.655059536366;-446.683601489681;672.9833496456533
2016-09-10;35362.05480769234;35165.56127133827;-471.8125446364784;668.3060809905428
2016-09-11;35341.35480769234;35185.776615560244;-493.22124494392324;648.7994370760191
2016-09-12;35309.85480769234;35206.34383192835;-507.74342594875236;611.2544017127399
2016-09-13;35267.55480769234;35227.078262908326;-485.8187221746541;526.295266958665
2016-09-14;35214.45480769234;35247.906940463654;-493.82685664009387;460.37472386877835
2016-09-15;35167.75480769234;35268.915070073774;-498.50967147083213;397.3494090893997
2016-09-16;35130.25480769234;35290.079090094834;-502.101346824604;342.27706442211115
2016-09-17;35076.45480769234;35311.36530189673;-504.4037506964396;269.4932564920473
2016-09-18;35029.35480769234;35332.73589726028;-501.5356253030211;198.15453573507943
2016-09-19;34953.654807692335;35354.15361591148;-501.71627948618675;101.21747126704554
2016-09-20;34886.85480769234;35375.69626606956;-495.69368958467317;6.852231207455816
2016-09-21;34937.154807692335;35397.384121707066;-489.00950566073993;28.780191646009598
2016-09-22;34994.35480769234;35419.411703371974;-492.2070153856215;67.15011970598732
2016-09-23;35017.25480769234;35441.6006548999;-490.6617978377824;66.31595063022428
2016-09-24;35030.95480769234;35463.86440094837;-488.99715314174387;56.08755988571352
2016-09-25;35036.75480769234;35486.33006480506;-507.73457154242874;58.15931442971282
2016-09-26;35051.054807692344;35508.98093414121;-532.8388724669818;74.91274601811494
2016-09-27;35117.954807692346;35531.77865279241;-545.7954606476563;131.9716155475911
2016-09-28;35036.154807692335;35554.61554952582;-576.9659716178727;58.505229784387325
2016-09-29;34988.654807692335;35577.44641886196;-595.6630081173545;6.871396947729522
2016-09-30;34980.554807692344;35599.93947997894;-612.9455489754876;-6.439123311105277
2016-10-01;34963.154807692335;35622.16048630137;-631.5823364089676;-27.423342200067736
2016-10-02;34941.25480769234;35644.16231454163;-643.8013654364634;-59.10614141282599
2016-10-03;34921.95480769234;35666.13373182297;-653.7358448583186;-90.44307927231375
2016-10-04;34896.85480769234;35688.1930943098;-680.9939564927104;-110.34433012474756
2016-10-05;34848.654807692335;35710.47464857745;-705.235488633538;-156.5843522515787
2016-10-06;34805.75480769234;35732.915791886204;-716.8246878561382;-210.33629633772432
2016-10-07;34787.154807692335;35755.51227766071;-726.0955226121574;-242.26194735621664
2016-10-08;34781.454807692346;35778.26972233931;-736.3366188874767;-260.47829575948924
2016-10-09;34756.554807692344;35801.05894783984;-750.2461335936828;-294.2580065538127
2016-10-10;34738.154807692335;35823.56159799791;-758.788192924213;-326.61859738136354
2016-10-11;34743.85480769234;35845.76945363541;-760.5844905278868;-341.3301554151835
2016-10-12;34735.154807692335;35867.83347365649;-765.8028470771799;-366.8758188869713
2016-10-13;34747.654807692335;35889.7405073762;-762.2049087797672;-379.88079090409576
2016-10-14;34774.85480769234;35911.62534931509;-764.7144258580283;-372.0561157647189
2016-10-15;34775.654807692335;35933.37758851423;-772.6046486232976;-385.11813219859823
2016-10-16;34769.75480769234;35955.00955374079;-786.7345725093661;-398.5201735390832
2016-10-17;34803.35480769234;35976.59749157008;-787.5184191849677;-385.7242646927715
2016-10-18;34819.85480769234;35998.31422391992;-793.890833731058;-384.5685824965245
2016-10-19;34830.95480769234;36020.189695995796;-793.5199356993178;-395.7149526041396
2016-10-20;34887.85480769234;36042.090154373036;-790.7534852747649;-363.48186140593134
2016-10-21;34915.45480769234;36063.803270284516;-783.0708455600491;-365.2776170321283
2016-10-22;34845.95480769234;36085.54438619601;-810.2711302953107;-429.3184482083593
2016-10-23;34830.45480769234;36107.309940463645;-835.5507716100634;-441.30436116124326
2016-10-24;34814.45480769234;36129.092261854596;-838.6833622814012;-475.954091880856
2016-10-25;34793.85480769234;36150.91576132772;-844.0690953354691;-512.9918582999113
2016-10-26;34729.154807692335;36172.56676765016;-856.1581077585663;-587.2538521992599
2016-10-27;34712.25480769234;36193.96777397262;-858.3495776328915;-623.3633886473848
2016-10-28;34697.654807692335;36215.26839673342;-863.2104273328704;-654.4031617082175
2016-10-29;34638.75480769234;36236.605101686;-866.4299714525835;-731.4203225410754
2016-10-30;34574.35480769234;36257.8050395153;-866.232989212814;-817.217242610143
2016-10-31;34505.25480769234;36278.98271241308;-869.6446948103205;-904.0832099104207
2016-11-01;34479.554807692344;36300.14563654375;-867.9193082534059;-952.6715205979979
2016-11-02;34425.35480769235;36321.41157437303;-868.779843240696;-1027.276923439986
2016-11-03;34423.454807692346;36342.676416311915;-868.3191266713261;-1050.9024819482433
2016-11-04;34456.454807692346;36363.91331304532;-862.8117538130424;-1044.6467515399313
2016-11-05;34475.454807692346;36385.15705909378;-847.8190758489044;-1061.883175552527
2016-11-06;34506.154807692335;36406.65943527925;-837.9346419694515;-1062.5699856174656
2016-11-07;34543.954807692346;36428.507290916765;-832.5224060974642;-1052.030077126955
2016-11-08;34517.154807692335;36450.671036965236;-828.2723308730556;-1105.2438983998445
2016-11-09;34463.10480769234;36472.850125479476;-826.251576943784;-1183.4937408433516
2016-11-10;34409.05480769234;36494.910583856705;-823.2539301128965;-1262.6018460514715
2016-11-11;34361.154807692335;36516.96117922025;-816.196046669307;-1339.6103248586062
2016-11-12;34320.654807692335;36539.37040472077;-803.1653683493587;-1415.550228679078
2016-11-13;34322.254807692334;36561.90100008432;-790.493643952202;-1449.152548439783
2016-11-14;34365.254807692334;36584.6258420232;-780.2546717343758;-1439.1163625964873
2016-11-15;34434.85480769233;36607.4936976607;-760.81654634095;-1411.822343627416
2016-11-16;34504.754807692334;36630.586210832465;-740.2404881953547;-1385.5909149447766
2016-11-17;34552.35480769233;36653.82283359327;-718.190806139416;-1383.277219761524
2016-11-18;34625.55480769233;36677.141648134886;-710.4361427634261;-1341.1506976791302
2016-11-19;34706.05480769233;36700.59690103267;-697.1341381670185;-1297.4079551733253
2016-11-20;34801.35480769233;36724.278729272926;-679.8131858744704;-1243.1107357061233
2016-11-21;34892.754807692334;36747.9537081981;-657.1250210455943;-1198.0738794601752
2016-11-22;34938.254807692334;36771.713595799105;-644.375197852258;-1189.083590254513
2016-11-23;34929.45480769233;36795.429624952594;-628.4412629943272;-1237.533554265936
2016-11-24;34988.15480769233;36819.21138469969;-608.6885942219125;-1222.3679827854467
2016-11-25;35035.854807692325;36843.202984629446;-592.5235115848203;-1214.8246653523006
2016-11-26;35057.454807692324;36867.39757542678;-579.0055667642542;-1230.9372009702033
2016-11-27;35099.05480769232;36891.82803380402;-564.4949927007794;-1228.2782334109186
2016-11-28;35111.954807692324;36916.45134606253;-552.5945171461017;-1251.9020212241057
2016-11-29;35165.854807692325;36941.14148480507;-531.4362700935163;-1243.8504070192284
2016-11-30;35227.854807692325;36965.798724004235;-516.007881743877;-1221.9360345680325
2016-12-01;35270.15480769233;36990.38635133124;-519.6346452286995;-1200.5968984102115
2016-12-02;35294.854807692325;37015.31231199158;-517.8078312635754;-1202.649673035683
2016-12-03;35341.15480769233;37040.412861693025;-515.4883120584858;-1183.7697419422107
2016-12-04;35359.25480769233;37065.53085431683;-528.9193259504367;-1177.356720674065
2016-12-05;35387.354807692325;37090.549942831065;-207.52203420724072;-1495.673100931499
2016-12-06;35421.15480769233;37115.33588066036;-197.7955097077704;-1496.3855632602588
2016-12-07;35480.354807692325;37139.957160955404;-185.7205115518177;-1473.8818417112611
2016-12-08;35543.25480769233;37164.623372757305;-169.55924300597826;-1451.8093220590004
2016-12-09;35587.55480769233;37189.189036614;-156.86390733685357;-1444.7703215848164
