,x,y,z,g1,g2
2905,-4494.949494949495,-2070.7070707070707,0.0,-0.787187824441929,-0.32410474226334945
2906,-4393.939393939394,-2070.7070707070707,0.0,-0.8513676623996306,-0.39368145282372125
2907,-4292.929292929293,-2070.7070707070707,0.0,-0.9140219925248106,-0.46152418511700505
2908,-4191.919191919192,-2070.7070707070707,0.0,-0.9730007043136331,-0.5254817289929334
2909,-4090.909090909091,-2070.7070707070707,0.0,-1.0257990548831104,-0.5830465238207045
2910,-3989.89898989899,-2070.7070707070707,0.0,-1.0696669905126033,-0.6313792486712169
2911,-3888.8888888888887,-2070.7070707070707,0.0,-1.1017741587301575,-0.66778547510596
2912,-3787.878787878788,-2070.7070707070707,0.0,-1.11941109152577,-0.6896415931531767
2913,-3686.868686868687,-2070.7070707070707,0.0,-1.1201961598174843,-0.6944715787890898
2914,-3585.8585858585857,-2070.7070707070707,0.0,-1.102257525187642,-0.6804175616104584
2915,-3484.848484848485,-2070.7070707070707,0.0,-1.0643684340674784,-0.6462421851721063
2916,-3383.838383838384,-2070.7070707070707,0.0,-1.0060260073828833,-0.5914614637935154
2917,-3282.8282828282827,-2070.7070707070707,0.0,-0.9274714659852773,-0.5163088879082718
2918,-3181.818181818182,-2070.7070707070707,0.0,-0.8296518827408601,-0.4217501810280675
2919,-3080.808080808081,-2070.7070707070707,0.0,-0.7141237703131689,-0.30935725452631657
2920,-2979.7979797979797,-2070.7070707070707,0.0,-0.5829024745390734,-0.18124620562647387
2921,-2878.787878787879,-2070.7070707070707,0.0,-0.43827081355393177,-0.03954502505560925
2922,-2777.777777777778,-2070.7070707070707,0.0,-0.28257227878227964,0.11344054532411385
2923,-2676.7676767676767,-2070.7070707070707,0.0,-0.1180209727310125,0.275406287430964
2924,-2575.757575757576,-2070.7070707070707,0.0,0.05344325295273168,0.44441146785472274
2925,-2474.747474747475,-2070.7070707070707,0.0,0.23023906640308267,0.6188631509799234
2926,-2373.7373737373737,-2070.7070707070707,0.0,0.411167528148892,0.7975634235893496
2927,-2272.7272727272725,-2070.7070707070707,0.0,0.5953870350469139,0.9796632502948496
2928,-2171.717171717172,-2070.7070707070707,0.0,0.7823551161943711,1.1646191095022975
2929,-2070.7070707070707,-2070.7070707070707,0.0,0.971751629123454,1.3521051947161604
2930,-1969.6969696969695,-2070.7070707070707,0.0,1.163394068969832,1.54193699104082
2931,-1868.6868686868688,-2070.7070707070707,0.0,1.3571516927434013,1.7339791279941237
2932,-1767.6767676767677,-2070.7070707070707,0.0,1.5528622581816658,1.9280668450842884
2933,-1666.6666666666665,-2070.7070707070707,0.0,1.7502537652212224,2.1239242051694434
2934,-1565.6565656565658,-2070.7070707070707,0.0,1.9488735680471014,2.321095770680548
2935,-1464.6464646464647,-2070.7070707070707,0.0,2.1480282618887685,2.518884645224477
2936,-1363.6363636363635,-2070.7070707070707,0.0,2.346739312538278,2.716309485979125
2937,-1262.6262626262628,-2070.7070707070707,0.0,2.5437207059572113,2.912080712274813
2938,-1161.6161616161617,-2070.7070707070707,0.0,2.7373849284657563,3.104608166402853
2939,-1060.6060606060605,-2070.7070707070707,0.0,2.925881361746131,3.2920154403758604
2940,-959.5959595959594,-2070.7070707070707,0.0,3.107166354665858,3.472215754742361
2941,-858.5858585858587,-2070.7070707070707,0.0,3.2790977721354575,3.643175916355451
2942,-757.575757575758,-2070.7070707070707,0.0,3.4395410094873795,3.8027478528627734
2943,-656.5656565656564,-2070.7070707070707,0.0,3.586470900440577,3.9488636143825873
2944,-555.5555555555557,-2070.7070707070707,0.0,3.718055944335396,4.0796933683929275
2945,-454.54545454545496,-2070.7070707070707,0.0,3.8327169411311877,4.193651168210597
2946,-353.53535353535335,-2070.7070707070707,0.0,3.92915897894762,4.289442187539986
2947,-252.52525252525265,-2070.7070707070707,0.0,4.0063812888198544,4.366060973600797
2948,-151.51515151515196,-2070.7070707070707,0.0,4.063672481512548,4.422795004670272
2949,-50.50505050505035,-2070.7070707070707,0.0,4.100599169289214,4.459207166772705
2950,50.50505050505035,-2070.7070707070707,0.0,4.116994751060483,4.4751290218988
2951,151.51515151515196,-2070.7070707070707,0.0,4.112953070289572,4.470651361299619
2952,252.52525252525265,-2070.7070707070707,0.0,4.0888293146690025,4.446126940685559
2953,353.53535353535335,-2070.7070707070707,0.0,4.045248149939806,4.4021780329881315
2954,454.54545454545496,-2070.7070707070707,0.0,3.9831167017842706,4.339708616100792
2955,555.5555555555557,-2070.7070707070707,0.0,3.9036376536023383,4.259919893806127
2956,656.5656565656564,-2070.7070707070707,0.0,3.808315648934831,4.164312121414006
2957,757.575757575758,-2070.7070707070707,0.0,3.6989489476792348,4.054684066231919
2958,858.5858585858587,-2070.7070707070707,0.0,3.577598752011115,3.933090927128149
2959,959.5959595959594,-2070.7070707070707,0.0,3.4465315889980483,3.801835665263351
2960,1060.606060606061,-2070.7070707070707,0.0,3.3081356680871306,3.6633155813925313
2961,1161.6161616161617,-2070.7070707070707,0.0,3.1648189371333406,3.5198231821460935
2962,1262.6262626262624,-2070.7070707070707,0.0,3.0189021578502544,3.373717933777816
2963,1363.636363636364,-2070.7070707070707,0.0,2.8725222358753126,3.2271558351308527
2964,1464.6464646464647,-2070.7070707070707,0.0,2.727558376344145,3.082014262326935
2965,1565.6565656565654,-2070.7070707070707,0.0,2.5855876981880863,2.939866947368459
2966,1666.666666666667,-2070.7070707070707,0.0,2.447870331656633,2.8019723128286396
2967,1767.6767676767677,-2070.7070707070707,0.0,2.315359040458599,2.669279323322541
2968,1868.6868686868684,-2070.7070707070707,0.0,2.1887260269504307,2.542458434563681
2969,1969.69696969697,-2070.7070707070707,0.0,2.0683994973178628,2.4219340477721145
2970,2070.7070707070707,-2070.7070707070707,0.0,1.9546038716102339,2.3079285928059305
2971,2171.7171717171714,-2070.7070707070707,0.0,1.8473993203446428,2.2004984978355617
2972,2272.727272727273,-2070.7070707070707,0.0,1.7467180034960306,2.0995735749601803
2973,2373.7373737373737,-2070.7070707070707,0.0,1.6523957124520827,2.004985977585911
2974,2474.7474747474744,-2070.7070707070707,0.0,1.5641985248787624,1.9164989171673366
2975,2575.757575757576,-2070.7070707070707,0.0,1.481844638140172,1.833827171295375
2976,2676.7676767676767,-2070.7070707070707,0.0,1.405021842939895,1.7566548108926567
2977,2777.7777777777774,-2070.7070707070707,0.0,1.3334012226705312,1.684650225885634
2978,2878.787878787879,-2070.7070707070707,0.0,1.2666476835219582,1.6174746502490547
2979,2979.7979797979797,-2070.7070707070707,0.0,1.204427882744641,1.5548108258195803
2980,3080.8080808080813,-2070.7070707070707,0.0,1.1464160579335365,1.4963193264653663
2981,3181.818181818182,-2070.7070707070707,0.0,1.0922981870031583,1.4416417862607922
2982,3282.8282828282827,-2070.7070707070707,0.0,1.041774836724818,1.3904982986049272
2983,3383.8383838383834,-2070.7070707070707,0.0,0.994562992437372,1.3426024257805076
2984,3484.848484848484,-2070.7070707070707,0.0,0.9503971048510718,1.297687236208077
2985,3585.8585858585866,-2070.7070707070707,0.0,0.909029542054018,1.2554951032812756
2986,3686.8686868686873,-2070.7070707070707,0.0,0.870230595419919,1.2157939069777084
2987,3787.878787878788,-2070.7070707070707,0.0,0.8337881561258323,1.1783596563923402
2988,3888.8888888888887,-2070.7070707070707,0.0,0.799507153317966,1.142992291130763
2989,3989.8989898989894,-2070.7070707070707,0.0,0.7672088246392562,1.109479186711474
2990,4090.90909090909,-2070.7070707070707,0.0,0.7367298737709563,1.0776679163375624
2991,4191.919191919193,-2070.7070707070707,0.0,0.7079215571250009,1.047430268913951
2992,4292.929292929293,-2070.7070707070707,0.0,0.6806487320413789,1.0185969699902984
2993,4393.939393939394,-2070.7070707070707,0.0,0.6547888912514316,0.991029680246702
2994,4494.949494949495,-2070.7070707070707,0.0,0.6302312024845005,0.9646022238400327
2995,4595.959595959595,-2070.7070707070707,0.0,0.6068755674983681,0.9391992473087506
2996,4696.969696969696,-2070.7070707070707,0.0,0.5846317112473182,0.91471257370014
2997,4797.979797979799,-2070.7070707070707,0.0,0.5634183090846748,0.8910414200320828
2998,4898.989898989899,-2070.7070707070707,0.0,0.5431621576631962,0.8680907441371606
2999,5000.0,-2070.7070707070707,0.0,0.5237973934115016,0.8457701992768389
3000,-5000.0,-1969.6969696969695,0.0,-0.42136960369694787,0.07413687784578449
3001,-4898.989898989899,-1969.6969696969695,0.0,-0.46483513779462166,0.023907409682728753
3002,-4797.979797979798,-1969.6969696969695,0.0,-0.5106694092128822,-0.02843430935751695
3003,-4696.969696969697,-1969.6969696969695,0.0,-0.558417893945316,-0.08243968493553155
3004,-4595.959595959596,-1969.6969696969695,0.0,-0.607414526093828,-0.13745316482467196
3005,-4494.949494949495,-1969.6969696969695,0.0,-0.656745048151639,-0.1925651141153195
3006,-4393.939393939394,-1969.6969696969695,0.0,-0.7052184015064021,-0.2465956295122677
3007,-4292.929292929293,-1969.6969696969695,0.0,-0.7513543467334088,-0.2980672054336936
3008,-4191.919191919192,-1969.6969696969695,0.0,-0.793396494466356,-0.34523695527226617
3009,-4090.909090909091,-1969.6969696969695,0.0,-0.829358610764553,-0.38613331550905433
3010,-3989.89898989899,-1969.6969696969695,0.0,-0.8571075391638788,-0.4187104707076461
3011,-3888.8888888888887,-1969.6969696969695,0.0,-0.8744787313320256,-0.44070039216689966
3012,-3787.878787878788,-1969.6969696969695,0.0,-0.879412370402245,-0.449981740111113
3013,-3686.868686868687,-1969.6969696969695,0.0,-0.8700925989430174,-0.4448293942523321
3014,-3585.8585858585857,-1969.6969696969695,0.0,-0.8450716693499699,-0.4237943275334801
3015,-3484.848484848485,-1969.6969696969695,0.0,-0.8033645929432489,-0.3859107778168326
3016,-3383.838383838384,-1969.6969696969695,0.0,-0.7445055282262422,-0.3307068058635562
3017,-3282.8282828282827,-1969.6969696969695,0.0,-0.6685620172546498,-0.25826615984394197
3018,-3181.818181818182,-1969.6969696969695,0.0,-0.5761063174148131,-0.1691546123967802
3019,-3080.808080808081,-1969.6969696969695,0.0,-0.4681455810272463,-0.06437536904019919
3020,-2979.7979797979797,-1969.6969696969695,0.0,-0.3460162714735765,0.054811562395946534
3021,-2878.787878787879,-1969.6969696969695,0.0,-0.2112535450262675,0.1867313986176315
3022,-2777.777777777778,-1969.6969696969695,0.0,-0.0654517920556645,0.3297495309057327
3023,-2676.7676767676767,-1969.6969696969695,0.0,0.08986478296380916,0.4824098568665894
3024,-2575.757575757576,-1969.6969696969695,0.0,0.2533448027179673,0.6433540141466388
3025,-2474.747474747475,-1969.6969696969695,0.0,0.42387528968399935,0.8114711323960493
3026,-2373.7373737373737,-1969.6969696969695,0.0,0.6006078894188122,0.9859046665995659
3027,-2272.7272727272725,-1969.6969696969695,0.0,0.7829499808575989,1.1660609691873187
3028,-2171.717171717172,-1969.6969696969695,0.0,0.9705283079566991,1.3515607543911432
3029,-2070.7070707070707,-1969.6969696969695,0.0,1.163133176229267,1.5421921664374052
3030,-1969.6969696969695,-1969.6969696969695,0.0,1.3606498264937654,1.7378355994720216
3031,-1868.6868686868688,-1969.6969696969695,0.0,1.5629816149049347,1.9383916960646697
3032,-1767.6767676767677,-1969.6969696969695,0.0,1.7699680564491815,2.1436958927844634
3033,-1666.6666666666665,-1969.6969696969695,0.0,1.9813002048522648,2.35343623693203
3034,-1565.6565656565658,-1969.6969696969695,0.0,2.196436535603205,2.5670676584855956
3035,-1464.6464646464647,-1969.6969696969695,0.0,2.414524521371355,2.7837345160264118
3036,-1363.6363636363635,-1969.6969696969695,0.0,2.634336133759274,3.0022054914263507
3037,-1262.6262626262628,-1969.6969696969695,0.0,2.8542286382098436,3.2208351086459746
3038,-1161.6161616161617,-1969.6969696969695,0.0,3.072143501926223,3.437561500397196
3039,-1060.6060606060605,-1969.6969696969695,0.0,3.2856537208787295,3.6499778807094208
3040,-959.5959595959594,-1969.6969696969695,0.0,3.492061870615859,3.8554261251060122
3041,-858.5858585858587,-1969.6969696969695,0.0,3.6885388535059183,4.050958324598429
3042,-757.575757575758,-1969.6969696969695,0.0,3.872281320118693,4.233779853728388
3043,-656.5656565656564,-1969.6969696969695,0.0,4.040660162208291,4.4012999826205865
3044,-555.5555555555557,-1969.6969696969695,0.0,4.191336535284896,4.551172444135375
3045,-454.54545454545496,-1969.6969696969695,0.0,4.322333353023723,4.681421572100973
3046,-353.53535353535335,-1969.6969696969695,0.0,4.432063239943825,4.790454501639127
3047,-252.52525252525265,-1969.6969696969695,0.0,4.51932329516114,4.877067730312468
3048,-151.51515151515196,-1969.6969696969695,0.0,4.58327080663824,4.940414427909442
3049,-50.50505050505035,-1969.6969696969695,0.0,4.623393332247191,4.979980648362879
3050,50.50505050505035,-1969.6969696969695,0.0,4.639483485979307,4.99555569859973
3051,151.51515151515196,-1969.6969696969695,0.0,4.631625075363286,4.9872212523830015
3052,252.52525252525265,-1969.6969696969695,0.0,4.600193759046746,4.955350337562391
3053,353.53535353535335,-1969.6969696969695,0.0,4.545872211939419,4.900622858723148
3054,454.54545454545496,-1969.6969696969695,0.0,4.469676601960856,4.824053136299913
3055,555.5555555555557,-1969.6969696969695,0.0,4.372987699942699,4.72701824829948
3056,656.5656565656564,-1969.6969696969695,0.0,4.257576242660285,4.611288398704403
3057,757.575757575758,-1969.6969696969695,0.0,4.12560907706496,4.4790246867651415
3058,858.5858585858587,-1969.6969696969695,0.0,3.9796218715306844,4.332764093995137
3059,959.5959595959594,-1969.6969696969695,0.0,3.8224479410198775,4.175297183843068
3060,1060.606060606061,-1969.6969696969695,0.0,3.6571020664129748,4.009623782127274
3061,1161.6161616161617,-1969.6969696969695,0.0,3.4866311905715794,3.838905213043812
3062,1262.6262626262624,-1969.6969696969695,0.0,3.31395530602622,3.6660157767302017
3063,1363.636363636364,-1969.6969696969695,0.0,3.1417258468429137,3.49358219308714
3064,1464.6464646464647,-1969.6969696969695,0.0,2.972223243314404,3.3238816248947867
3065,1565.6565656565654,-1969.6969696969695,0.0,2.8073032207520785,3.15876797149594
3066,1666.666666666667,-1969.6969696969695,0.0,2.648389006016062,2.999660876270169
3067,1767.6767676767677,-1969.6969696969695,0.0,2.496498527192644,2.8475767451131557
3068,1868.6868686868684,-1969.6969696969695,0.0,2.3522931316396947,2.70317324315469
3069,1969.69696969697,-1969.6969696969695,0.0,2.2161358218570997,2.566811692752672
3070,2070.7070707070707,-1969.6969696969695,0.0,2.088150289182288,2.438612160589098
3071,2171.7171717171714,-1969.6969696969695,0.0,1.9682754300690455,2.3185115733232875
3072,2272.727272727273,-1969.6969696969695,0.0,1.8563127375349284,2.2063079001056325
3073,2373.7373737373737,-1969.6969696969695,0.0,1.7519657854790809,2.101702332289405
3074,2474.7474747474744,-1969.6969696969695,0.0,1.6548720942580655,2.0043290328380445
3075,2575.757575757576,-1969.6969696969695,0.0,1.5646281996775,1.9137815216040444
3076,2676.7676767676767,-1969.6969696969695,0.0,1.480808943459948,1.829631659066877
3077,2777.7777777777774,-1969.6969696969695,0.0,1.4029820079995345,1.7514428314169375
3078,2878.787878787879,-1969.6969696969695,0.0,1.330718627670532,1.6787826043693803
3079,2979.7979797979797,-1969.6969696969695,0.0,1.2636012804956034,1.6112097185463383
3080,3080.8080808080813,-1969.6969696969695,0.0,1.2012290290439491,1.548328687060851
3081,3181.818181818182,-1969.6969696969695,0.0,1.1432210539364969,1.4897941534983563
3082,3282.8282828282827,-1969.6969696969695,0.0,1.089218813722956,1.4352188652641806
3083,3383.8383838383834,-1969.6969696969695,0.0,1.0388871728758076,1.3842611121197665
3084,3484.848484848484,-1969.6969696969695,0.0,0.9919147643911637,1.3366001793762927
3085,3585.8585858585866,-1969.6969696969695,0.0,0.94801379301029,1.2919465864277755
3086,3686.8686868686873,-1969.6969696969695,0.0,0.9069194371953782,1.2500253072521956
3087,3787.878787878788,-1969.6969696969695,0.0,0.8683889704848596,1.2105916639876195
3088,3888.8888888888887,-1969.6969696969695,0.0,0.832200693709643,1.1734138999833876
3089,3989.8989898989894,-1969.6969696969695,0.0,0.7981527471110939,1.1383073368815404
3090,4090.90909090909,-1969.6969696969695,0.0,0.7660618542401053,1.1050597269798574
3091,4191.919191919193,-1969.6969696969695,0.0,0.7357620364078645,1.0734645870108253
3092,4292.929292929293,-1969.6969696969695,0.0,0.7071033265543493,1.0433838284188361
3093,4393.939393939394,-1969.6969696969695,0.0,0.679950503913128,1.0146734750774495
3094,4494.949494949495,-1969.6969696969695,0.0,0.6541818651264344,0.9871999667367541
3095,4595.959595959595,-1969.6969696969695,0.0,0.6296880432020197,0.9608389322557229
3096,4696.969696969696,-1969.6969696969695,0.0,0.6063708823829774,0.9354765438573496
3097,4797.979797979799,-1969.6969696969695,0.0,0.5841423744706665,0.9110068194119534
3098,4898.989898989899,-1969.6969696969695,0.0,0.5629236601579574,0.8873311270426696
3099,5000.0,-1969.6969696969695,0.0,0.5426440973491578,0.8643568497197645
3100,-5000.0,-1868.6868686868688,0.0,-0.3557182559663607,0.14198371166836027
3101,-4898.989898989899,-1868.6868686868688,0.0,-0.3906822324907123,0.10004184797026539
3102,-4797.979797979798,-1868.6868686868688,0.0,-0.42705385894046843,0.05696167261178697
3103,-4696.969696969697,-1868.6868686868688,0.0,-0.464359816514509,0.013205843426039976
3104,-4595.959595959596,-1868.6868686868688,0.0,-0.5019556417095099,-0.03058745918442385
3105,-4494.949494949495,-1868.6868686868688,0.0,-0.539003702144857,-0.07359145170347842
3106,-4393.939393939394,-1868.6868686868688,0.0,-0.5744590637627555,-0.1147660371724501
3107,-4292.929292929293,-1868.6868686868688,0.0,-0.6070684509641259,-0.15286952667202286
3108,-4191.919191919192,-1868.6868686868688,0.0,-0.6353875173247693,-0.18645954720755414
3109,-4090.909090909091,-1868.6868686868688,0.0,-0.6578202723348386,-0.21394060579575824
3110,-3989.89898989899,-1868.6868686868688,0.0,-0.6726815056163049,-0.23356538292399132
3111,-3888.8888888888887,-1868.6868686868688,0.0,-0.6782788188687452,-0.24374251040190098
3112,-3787.878787878788,-1868.6868686868688,0.0,-0.6730065556111048,-0.242931078329292
3113,-3686.868686868687,-1868.6868686868688,0.0,-0.6554409620363352,-0.2296411134077691
3114,-3585.8585858585857,-1868.6868686868688,0.0,-0.6244252993482575,-0.2027282176667206
3115,-3484.848484848485,-1868.6868686868688,0.0,-0.5791352892282849,-0.1613624815351341
3116,-3383.838383838384,-1868.6868686868688,0.0,-0.519118228603633,-0.10510701759219426
3117,-3282.8282828282827,-1868.6868686868688,0.0,-0.4443022274049375,-0.033886228416539876
3118,-3181.818181818182,-1868.6868686868688,0.0,-0.3549747680178903,0.05199688293354321
3119,-3080.808080808081,-1868.6868686868688,0.0,-0.2517323681107734,0.1519328360823936
3120,-2979.7979797979797,-1868.6868686868688,0.0,-0.13540601242014066,0.2650157580514953
3121,-2878.787878787879,-1868.6868686868688,0.0,-0.006970219547907531,0.3903818689062555
3122,-2777.777777777778,-1868.6868686868688,0.0,0.1325536340223411,0.5270354720487884
3123,-2676.7676767676767,-1868.6868686868688,0.0,0.2821879740752379,0.6739321929639973
3124,-2575.757575757576,-1868.6868686868688,0.0,0.441073162173117,0.8302100454928938
3125,-2474.747474747475,-1868.6868686868688,0.0,0.6085179507388356,0.9951680636146891
3126,-2373.7373737373737,-1868.6868686868688,0.0,0.7840233685610343,1.1683064449673244
3127,-2272.7272727272725,-1868.6868686868688,0.0,0.9672808746565048,1.3493100857938618
3128,-2171.717171717172,-1868.6868686868688,0.0,1.1581478847467435,1.5380341424303605
3129,-2070.7070707070707,-1868.6868686868688,0.0,1.356604418442237,1.7344534745570912
3130,-1969.6969696969695,-1868.6868686868688,0.0,1.5626940640737468,1.9386087800646128
3131,-1868.6868686868688,-1868.6868686868688,0.0,1.7764513886656,2.150530333391086
3132,-1767.6767676767677,-1868.6868686868688,0.0,1.9978170236378463,2.3701555614883976
3133,-1666.6666666666665,-1868.6868686868688,0.0,2.2265415739720407,2.5972313849645143
3134,-1565.6565656565658,-1868.6868686868688,0.0,2.462080850942758,2.831210265328945
3135,-1464.6464646464647,-1868.6868686868688,0.0,2.703488285505219,3.0711423541136194
3136,-1363.6363636363635,-1868.6868686868688,0.0,2.949315972711976,3.3155764800208725
3137,-1262.6262626262628,-1868.6868686868688,0.0,3.1975428193312756,3.562488168105657
3138,-1161.6161616161617,-1868.6868686868688,0.0,3.445553902758605,3.8092597067140748
3139,-1060.6060606060605,-1868.6868686868688,0.0,3.6901943134792425,4.052709955585064
3140,-959.5959595959594,-1868.6868686868688,0.0,3.9279083069957617,4.289236188219534
3141,-858.5858585858587,-1868.6868686868688,0.0,4.154950610690007,4.5152092723230375
3142,-757.575757575758,-1868.6868686868688,0.0,4.36763077353262,4.726923392351711
3143,-656.5656565656564,-1868.6868686868688,0.0,4.562538653740011,4.920923731665167
3144,-555.5555555555557,-1868.6868686868688,0.0,4.736708153858361,5.094246459809721
3145,-454.54545454545496,-1868.6868686868688,0.0,4.88770116248046,5.244446546724478
3146,-353.53535353535335,-1868.6868686868688,0.0,5.01361943921073,5.369625949665817
3147,-252.52525252525265,-1868.6868686868688,0.0,5.113067544119508,5.468384534487436
3148,-151.51515151515196,-1868.6868686868688,0.0,5.1850930456176965,5.539768777457022
3149,-50.50505050505035,-1868.6868686868688,0.0,5.229125670592112,5.583204762955254
3150,50.50505050505035,-1868.6868686868688,0.0,5.2449300715592,5.598455320238295
3151,151.51515151515196,-1868.6868686868688,0.0,5.232580602081777,5.585591906929828
3152,252.52525252525265,-1868.6868686868688,0.0,5.192461764166601,5.544996587904577
3153,353.53535353535335,-1868.6868686868688,0.0,5.125294311895677,5.477387954574294
3154,454.54545454545496,-1868.6868686868688,0.0,5.032183314441202,5.383867892630925
3155,555.5555555555557,-1868.6868686868688,0.0,4.914679749354379,5.265986228347973
3156,656.5656565656564,-1868.6868686868688,0.0,4.774840905239436,5.1257957466592226
3157,757.575757575758,-1868.6868686868688,0.0,4.615267871841559,4.965898541805305
