Line,Point,latitude,longitude,elevation,gravbg,X,Y,Terrain,absgrav,C_bb,normalgrav,zhongjian,guance,jindigai,grav1,freeair,gravbg1,C_gravbg1,cc_bb,_Distance
1,1006,24.43876,102.53343,1661.456,-88.061,249803.781854627,2706171.46348065,2.49077092333125,978486.798,-85.5846664033974,978917.085,342.226,-88.061,0,-88.061,82.4365877528552,-104.931107110637,-102.440336187306,-102.440336187306,10977.9426031386
1,1007,24.43812,102.53486,1659.767,-88.589,249947.61342553,2706097.94629646,2.33155112989252,978486.59,-86.2646794298969,978917.042,341.863,-88.589,0,-88.589,81.7508790420372,-105.427331220721,-103.095780090829,-103.095780090829,11139.4737059016
1,1008,24.43749,102.53647,1659.956,-89.031,250109.729986171,2706025.2139448,2.17632957810288,978486.064,-86.859116403713,978916.999,341.904,-89.031,0,-89.031,81.3260329446831,-105.873380772458,-103.697051194356,-103.697051194356,11317.1581852802
1,1009,24.43684,102.53801,1661.283,-89.283,250264.706003471,2705950.39332618,2.0429426686784,978485.483,-87.2436460190544,978916.955,342.189,-89.283,0,-89.283,81.1987278890933,-106.149558444129,-104.106615775451,-104.106615775451,11489.2502853573
1,1010,24.43622,102.53947,1661.163,-89.428,250411.625301681,2705879.04379292,1.95853699179624,978485.322,-87.4723382330225,978916.913,342.163,-89.428,0,-89.428,81.0428441538564,-106.291979677161,-104.333442685365,-104.333442685365,11652.5782868852
1,1011,24.43559,102.54092,1660.8,-89.414,250557.511613277,2705806.6056462,1.89242094161216,978485.371,-87.5241746348674,978916.87,342.085,-89.414,0,-89.414,81.0226505746813,-106.271449255743,-104.379028314131,-104.379028314131,11815.4589211262
1,1012,24.43511,102.54246,1660.089,-89.205,250712.826555554,2705750.63165523,1.84629439854564,978485.7,-87.3616771064068,978916.837,341.933,-89.205,0,-89.205,81.1648681836933,-106.049466265095,-104.203171866549,-104.203171866549,11980.5522854978
1,1013,24.4343,102.54382,1659.449,-89.08,250849.229412589,2705658.40937814,1.7965397687859,978485.908,-87.2863488931817,978916.783,341.795,-89.08,0,-89.08,81.2304277104328,-105.912106331646,-104.11556656286,-104.11556656286,12145.205520509
1,1014,24.43376,102.54495,1659.061,-88.754,250962.826902903,2705596.52676954,1.76494946974043,978486.28,-86.9919660149898,978916.745,341.712,-88.754,0,-88.754,81.5193990154802,-105.579605884246,-103.814656414505,-103.814656414505,12274.56489223
1,1015,24.43316,102.54652,1658.794,-88.341,251120.953763252,2705527.20397783,1.72703935058576,978486.71,-86.6175308195734,978916.705,341.654,-88.341,0,-88.341,81.9077882309846,-105.161262250699,-103.434222900113,-103.434222900113,12447.2199049419
